#,CATEGORY,CLASS TYPE,PRODUCT,UNIT,QUANTITY,RUPEES,DOLLARS,% QUANTITY,% RUPEES,% DOLLARS,STATUS,Year,Quarter,Month,Day
4,FOOD GROUP,RICE,BASMATI,M.T,76532,10255,66992,-16.95,-15.68,-14.05,Export,2021,Qtr 2,April,1
5,FOOD GROUP,RICE,OTHERS,M.T,238524,18761,122559,-18.15,-16.82,-15.22,Export,2021,Qtr 2,April,1
6,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,21339,7329,47878,-10.93,-10.67,-8.95,Export,2021,Qtr 2,April,1
7,FOOD GROUP,,FRUITS,M.T,33788,2241,14640,-63.6,-62.92,-62.2,Export,2021,Qtr 2,April,1
8,FOOD GROUP,,VEGETABLES,M.T,107531,4863,31768,-35.55,-34.11,-32.84,Export,2021,Qtr 2,April,1
9,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
10,FOOD GROUP,,TOBACCO,M.T,1202,469,3064,38.32,21.82,24.25,Export,2021,Qtr 2,April,1
11,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
12,FOOD GROUP,,SPICES,M.T,1851,997,6513,-25.33,-24.58,-23.12,Export,2021,Qtr 2,April,1
13,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,6735,1274,8323,-47.6,-49.88,-48.92,Export,2021,Qtr 2,April,1
14,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
15,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,9582,5138,33565,0.94,2.66,4.65,Export,2021,Qtr 2,April,1
16,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,7926,51778,,-11.25,-9.54,Export,2021,Qtr 2,April,1
18,TEXTILE GROUP,,RAW COTTON,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
19,TEXTILE GROUP,,COTTON YARN,M.T,34184,15726,102733,-12.86,-11.99,-10.3,Export,2021,Qtr 2,April,1
20,TEXTILE GROUP,,COTTON CLOTH,M.T,36981,24857,162382,-12.22,-13.36,-11.69,Export,2021,Qtr 2,April,1
21,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,0,0,0,-100,-100,-100,Export,2021,Qtr 2,April,1
22,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1370,526,3436,4.26,4.37,6.44,Export,2021,Qtr 2,April,1
23,TEXTILE GROUP,,KNITWEAR,TH.DOZ,15551,52842,345199,-0.72,7.89,9.98,Export,2021,Qtr 2,April,1
24,TEXTILE GROUP,,BED WEAR,M.T,37678,36665,239520,-1.64,-0.17,1.76,Export,2021,Qtr 2,April,1
25,TEXTILE GROUP,,TOWELS,M.T,18787,12950,84598,4.27,1.93,3.9,Export,2021,Qtr 2,April,1
26,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,2204,1005,6565,-14.21,-7.03,-5.25,Export,2021,Qtr 2,April,1
27,TEXTILE GROUP,,READYMADE GARMENTS,,,37296,243642,,-6.9,-5.1,Export,2021,Qtr 2,April,1
28,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,7511,4966,32441,-21.09,-19.13,-17.57,Export,2021,Qtr 2,April,1
29,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,9460,61799,,1.57,3.53,Export,2021,Qtr 2,April,1
30,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,8430,55070,,-10.61,-8.89,Export,2021,Qtr 2,April,1
32,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,45753,3258,21283,100,100,100,Export,2021,Qtr 2,April,1
33,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,7863,1190,7774,1699.31,1283.72,1316.03,Export,2021,Qtr 2,April,1
34,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,1079,55,359,100,100,100,Export,2021,Qtr 2,April,1
35,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
37,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,127,856,5592,-20.63,-19.02,-17.46,Export,2021,Qtr 2,April,1
39,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,265,2090,13653,20.45,17.55,19.84,Export,2021,Qtr 2,April,1
40,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,120,732,4782,-26.83,-16.63,-15.02,Export,2021,Qtr 2,April,1
41,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,1127,7362,,8.26,10.33,Export,2021,Qtr 2,April,1
42,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1662,2482,16214,30.05,0.08,2.03,Export,2021,Qtr 2,April,1
44,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,110,2961,19343,-12,-4.14,-2.3,Export,2021,Qtr 2,April,1
45,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,450,2969,19395,-37.93,-22.6,-21.11,Export,2021,Qtr 2,April,1
46,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,205,1339,,0,1.98,Export,2021,Qtr 2,April,1
48,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,540,942,6154,-15.76,-26.12,-24.67,Export,2021,Qtr 2,April,1
49,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,6,9,59,-73.91,-59.09,-58.74,Export,2021,Qtr 2,April,1
50,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,872,336,2195,-17.74,-16.83,-15.19,Export,2021,Qtr 2,April,1
51,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,5474,35760,,-11.05,-9.33,Export,2021,Qtr 2,April,1
52,OTHER MANUFACTURES GROUP,,CUTLERY,,,1283,8381,,-20.95,-19.43,Export,2021,Qtr 2,April,1
53,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,155,62,405,-67.02,-57.53,-56.87,Export,2021,Qtr 2,April,1
55,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2021,Qtr 2,April,1
56,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,14099,2960,19337,-27.24,-20.71,-19.18,Export,2021,Qtr 2,April,1
57,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,2500,2958,19324,-20.33,-16.82,-15.2,Export,2021,Qtr 2,April,1
58,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,10471,68404,,-33.46,-32.17,Export,2021,Qtr 2,April,1
60,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,260,654,4272,-7.14,-0.46,1.42,Export,2021,Qtr 2,April,1
61,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,204,1333,,-23.02,-21.4,Export,2021,Qtr 2,April,1
62,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,339,2215,,-48.71,-47.71,Export,2021,Qtr 2,April,1
64,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,832,5435,,-27.65,-26.23,Export,2021,Qtr 2,April,1
65,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,311,2032,,-7.44,-5.75,Export,2021,Qtr 2,April,1
66,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,483,3155,,-37.52,-36.33,Export,2021,Qtr 2,April,1
67,OTHER MANUFACTURES GROUP,,GEMS,K.G,211,43,281,-28.47,-29.51,-28.13,Export,2021,Qtr 2,April,1
68,OTHER MANUFACTURES GROUP,,JEWELLERY,,,925,6043,,1041.98,1059.88,Export,2021,Qtr 2,April,1
69,OTHER MANUFACTURES GROUP,,FURNITURE,,,136,888,,37.37,40.51,Export,2021,Qtr 2,April,1
70,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,0,0,0,-100,-100,-100,Export,2021,Qtr 2,April,1
71,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,0,0,,0,0,Export,2021,Qtr 2,April,1
72,OTHER MANUFACTURES GROUP,,CEMENT,M.T,377016,2298,15012,-51.47,-45.14,-44.09,Export,2021,Qtr 2,April,1
73,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,2960,505,3299,16.58,5.65,7.78,Export,2021,Qtr 2,April,1
74,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,26492,173066,,-2.02,-0.14,Export,2021,Qtr 2,April,1
78,FOOD GROUP,RICE,BASMATI,M.T,57515,8285,50489,-18.43,-11.93,-14.35,Export,2021,Qtr 3,August,1
79,FOOD GROUP,RICE,OTHERS,M.T,188683,14765,89978,17.36,14.45,11.32,Export,2021,Qtr 3,August,1
80,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,4346,1758,10716,-36.11,-22.6,-24.71,Export,2021,Qtr 3,August,1
81,FOOD GROUP,,FRUITS,M.T,46066,6355,38726,-10.74,-18.19,-20.43,Export,2021,Qtr 3,August,1
82,FOOD GROUP,,VEGETABLES,M.T,68369,3515,21420,27.65,30.67,27.08,Export,2021,Qtr 3,August,1
83,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
84,FOOD GROUP,,TOBACCO,M.T,1857,697,4249,295.04,361.81,349.15,Export,2021,Qtr 3,August,1
85,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
86,FOOD GROUP,,SPICES,M.T,1894,1251,7626,31.14,37.67,33.93,Export,2021,Qtr 3,August,1
87,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,5366,1213,7394,35.31,77.66,72.88,Export,2021,Qtr 3,August,1
88,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
89,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,6047,4182,25482,6.93,8.87,5.89,Export,2021,Qtr 3,August,1
90,FOOD GROUP,,ALL OTHER FOOD ITEMS,,,11433,69670,,-12.08,-14.49,Export,2021,Qtr 3,August,1
92,TEXTILE GROUP,,RAW COTTON,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
93,TEXTILE GROUP,,COTTON YARN,M.T,32880,16987,103518,12.31,18.43,15.19,Export,2021,Qtr 3,August,1
94,TEXTILE GROUP,,COTTON CLOTH,M.T,46170,30880,188181,11.24,7.83,4.87,Export,2021,Qtr 3,August,1
95,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,303,63,382,-0.98,1.17,-1.55,Export,2021,Qtr 3,August,1
96,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1636,805,4907,46.43,76.2,71.39,Export,2021,Qtr 3,August,1
97,TEXTILE GROUP,,KNITWEAR,TH.DOZ,10215,59761,364172,-2.89,-4.65,-7.27,Export,2021,Qtr 3,August,1
98,TEXTILE GROUP,,BED WEAR,M.T,40179,43448,264764,-15.6,3.37,0.54,Export,2021,Qtr 3,August,1
99,TEXTILE GROUP,,TOWELS,M.T,16920,13586,82794,-8.58,9.39,6.39,Export,2021,Qtr 3,August,1
100,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,2065,925,5637,-2.84,-12.33,-14.76,Export,2021,Qtr 3,August,1
101,TEXTILE GROUP,,READYMADE GARMENTS,,,46565,283760,,-3.12,-5.78,Export,2021,Qtr 3,August,1
102,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,7842,6046,36842,-4.24,17.05,13.85,Export,2021,Qtr 3,August,1
103,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,10845,66090,,1.26,-1.51,Export,2021,Qtr 3,August,1
104,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,10126,61706,,10.31,7.28,Export,2021,Qtr 3,August,1
106,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,0,0,0,-100,-100,-100,Export,2021,Qtr 3,August,1
107,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,989,290,1769,23.64,62.15,57.38,Export,2021,Qtr 3,August,1
108,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
109,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
111,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,174,954,5811,4.82,8.11,5.12,Export,2021,Qtr 3,August,1
113,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,218,1810,11032,-3.64,-5.02,-7.61,Export,2021,Qtr 3,August,1
114,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,301,1003,6111,25.42,5.45,2.6,Export,2021,Qtr 3,August,1
115,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,129,1135,6917,,-15.92,-18.22,Export,2021,Qtr 3,August,1
116,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1074,2077,12656,-17.65,-18.42,-20.65,Export,2021,Qtr 3,August,1
118,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,125,3738,22779,-35.57,-31.52,-33.41,Export,2021,Qtr 3,August,1
119,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,704,3282,20003,-34.95,-21.72,-23.85,Export,2021,Qtr 3,August,1
120,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,228,1389,,-13.02,-15.2,Export,2021,Qtr 3,August,1
122,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,650,1943,11841,11.11,12.32,9.24,Export,2021,Qtr 3,August,1
123,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,0,0,0,-100,-100,-100,Export,2021,Qtr 3,August,1
124,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,564,296,1801,-24.57,-19.45,-21.66,Export,2021,Qtr 3,August,1
125,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,5034,30678,,-16.93,-19.2,Export,2021,Qtr 3,August,1
126,OTHER MANUFACTURES GROUP,,CUTLERY,,,1514,9225,,-0.99,-3.7,Export,2021,Qtr 3,August,1
127,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,200,64,387,-67.64,-64.12,-65.01,Export,2021,Qtr 3,August,1
129,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2021,Qtr 3,August,1
130,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,20107,4903,29876,-3.63,2.05,-0.73,Export,2021,Qtr 3,August,1
131,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,2552,3701,22551,10.81,-4.65,-7.27,Export,2021,Qtr 3,August,1
132,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,10073,61386,,-5.49,-8.08,Export,2021,Qtr 3,August,1
134,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,154,349,2128,-0.49,-5.37,-7.88,Export,2021,Qtr 3,August,1
135,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,133,813,,2.62,-0.61,Export,2021,Qtr 3,August,1
136,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,489,2979,,31.77,28.02,Export,2021,Qtr 3,August,1
138,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,812,4948,,-1.35,-4.07,Export,2021,Qtr 3,August,1
139,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,389,2369,,24.21,20.62,Export,2021,Qtr 3,August,1
140,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,758,4619,,-36.52,-38.27,Export,2021,Qtr 3,August,1
141,OTHER MANUFACTURES GROUP,,GEMS,K.G,347,65,399,36.61,76.92,71.98,Export,2021,Qtr 3,August,1
142,OTHER MANUFACTURES GROUP,,JEWELLERY,,,202,1231,,192.86,186.28,Export,2021,Qtr 3,August,1
143,OTHER MANUFACTURES GROUP,,FURNITURE,,,119,725,,62.96,58.99,Export,2021,Qtr 3,August,1
144,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,61,1,5,100,100,100,Export,2021,Qtr 3,August,1
145,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,0,0,,0,0,Export,2021,Qtr 3,August,1
146,OTHER MANUFACTURES GROUP,,CEMENT,M.T,235203,1546,9422,-21.5,-19.05,-21.26,Export,2021,Qtr 3,August,1
147,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,2085,459,2796,1.86,9.51,6.6,Export,2021,Qtr 3,August,1
148,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,27987,170551,,0.58,-2.18,Export,2021,Qtr 3,August,1
152,FOOD GROUP,RICE,BASMATI,M.T,48960,8701,49107,-24.54,-10.85,-12.94,Export,2021,Qtr 4,December,1
153,FOOD GROUP,RICE,OTHERS,M.T,447248,33868,191153,4.26,11.53,8.92,Export,2021,Qtr 4,December,1
154,FOOD GROUP,,FISH & FISH PREPARATIONS,M.T,18538,9050,51078,-10.2,-3.36,-5.62,Export,2021,Qtr 4,December,1
155,FOOD GROUP,,FRUITS,M.T,87717,12376,69852,190.8,110.26,105.35,Export,2021,Qtr 4,December,1
156,FOOD GROUP,,VEGETABLES,M.T,76120,5744,32422,-3.8,1.31,-1.07,Export,2021,Qtr 4,December,1
157,FOOD GROUP,,LEGUMINOUS VEGETABLES (PULSES),M.T,0,0,0,0,0,0,Export,2021,Qtr 4,December,1
158,FOOD GROUP,,TOBACCO,M.T,3833,2041,11520,115.71,147.7,142.02,Export,2021,Qtr 4,December,1
159,FOOD GROUP,,WHEAT,M.T,0,0,0,0,0,0,Export,2021,Qtr 4,December,1
160,FOOD GROUP,,SPICES,M.T,2706,2065,11654,29.59,23.5,20.6,Export,2021,Qtr 4,December,1
161,FOOD GROUP,,"OIL SEEDS, NUTS AND KERNALS",M.T,16635,4578,25838,-46.51,-41.08,-42.46,Export,2021,Qtr 4,December,1
162,FOOD GROUP,,SUGAR,M.T,0,0,0,0,0,0,Export,2021,Qtr 4,December,1
163,FOOD GROUP,,MEAT AND MEAT PREPARATIONS,M.T,6598,5216,29441,-0.35,3.4,0.98,Export,2021,Qtr 4,December,1
164,FOOD GROUP,,ALL OTHER FOOD ITEMS,,130987,11195,63187,,-11.89,-13.95,Export,2021,Qtr 4,December,1
166,TEXTILE GROUP,,RAW COTTON,M.T,721,312,1763,100,100,100,Export,2021,Qtr 4,December,1
167,TEXTILE GROUP,,COTTON YARN,M.T,28425,18874,106529,-8.31,-0.05,-2.39,Export,2021,Qtr 4,December,1
168,TEXTILE GROUP,,COTTON CLOTH,M.T,31527,33502,189086,-17.55,-5.48,-7.69,Export,2021,Qtr 4,December,1
169,TEXTILE GROUP,,COTTON CARDED OR COMBED,M.T,2,1,6,-95.56,-90.41,-90.32,Export,2021,Qtr 4,December,1
170,TEXTILE GROUP,,YARN OTHER THAN COTTON YARN,M.T,1795,921,5200,-14.52,-8.86,-10.96,Export,2021,Qtr 4,December,1
171,TEXTILE GROUP,,KNITWEAR,TH.DOZ,19878,77961,440017,-6.15,-1.83,-4.13,Export,2021,Qtr 4,December,1
172,TEXTILE GROUP,,BED WEAR,M.T,36151,44905,253446,-31.69,-17.63,-19.56,Export,2021,Qtr 4,December,1
173,TEXTILE GROUP,,TOWELS,M.T,17996,16867,95200,-17.22,-7.41,-9.58,Export,2021,Qtr 4,December,1
174,TEXTILE GROUP,,"TENTS,CANVAS & TARPULIN",M.T,3782,2473,13959,-15.16,19.36,16.59,Export,2021,Qtr 4,December,1
175,TEXTILE GROUP,,READYMADE GARMENTS,,,61411,346607,,8.65,6.11,Export,2021,Qtr 4,December,1
176,TEXTILE GROUP,,"ART,SILK & SYNTHETIC TEXTILE",M.T,8011,7164,40432,-26,0.74,-1.61,Export,2021,Qtr 4,December,1
177,TEXTILE GROUP,,MADEUP ARTICLES(EXCL TOWELS & BEDWEAR,,,12272,69262,,-15.98,-17.95,Export,2021,Qtr 4,December,1
178,TEXTILE GROUP,,OTHER TEXTILE MATERIALS,,,10997,62071,,-12.43,-14.48,Export,2021,Qtr 4,December,1
180,PETROLEUM GROUP & COAL,,PETROLEUM CRUDE,M.T,42233,4514,25477,-30.48,-9.98,-12.08,Export,2021,Qtr 4,December,1
181,PETROLEUM GROUP & COAL,,PETROLEUM PRODUCTS(EXCL TOP NAPHTA),M.T,2072,580,3274,-61.23,-21.92,-23.77,Export,2021,Qtr 4,December,1
182,PETROLEUM GROUP & COAL,,PETROLEUM TOP NAPHTA,M.T,0,0,0,0,0,0,Export,2021,Qtr 4,December,1
183,PETROLEUM GROUP & COAL,,SOLID FUELS (COAL),M.T,0,0,0,0,0,0,Export,2021,Qtr 4,December,1
185,OTHER MANUFACTURES GROUP,,"CARPETS, RUGS & MATS",TH.SQM,198,1213,6846,-24.14,-16.17,-18.15,Export,2021,Qtr 4,December,1
187,OTHER MANUFACTURES GROUP,SPORTS GOODS,FOOTBALLS,TH.DOZ,291,2688,15173,19.68,14.88,12.2,Export,2021,Qtr 4,December,1
188,OTHER MANUFACTURES GROUP,SPORTS GOODS,GLOVES,TH.DOZ,255,1030,5812,-21.3,-17.02,-18.96,Export,2021,Qtr 4,December,1
189,OTHER MANUFACTURES GROUP,SPORTS GOODS,OTHERS,,,1410,7957,,-10.88,-12.94,Export,2021,Qtr 4,December,1
190,OTHER MANUFACTURES GROUP,,LEATHER TANNED,M.T,1383,3040,17156,9.13,2.76,0.36,Export,2021,Qtr 4,December,1
192,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GARMENTS,TH.DOZ,150,5079,28664,-17.58,-7.86,-10.03,Export,2021,Qtr 4,December,1
193,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,LEATHER GLOVES,TH.DOZ,800,4088,23072,-19.52,-8.88,-11,Export,2021,Qtr 4,December,1
194,OTHER MANUFACTURES GROUP,LEATHER MANUFACTURES,OTHER LEATHER MANUFACTURES,,,251,1417,,-24.37,-26.08,Export,2021,Qtr 4,December,1
196,OTHER MANUFACTURES GROUP,FOOTWEAR,LEATHER FOOTWEAR,TH.Pairs,874,1992,11243,69.11,31.92,28.86,Export,2021,Qtr 4,December,1
197,OTHER MANUFACTURES GROUP,FOOTWEAR,CANVAS FOOTWEAR,TH.Pairs,13,12,66,-59.38,-58.37,-58.75,Export,2021,Qtr 4,December,1
198,OTHER MANUFACTURES GROUP,FOOTWEAR,OTHER FOOTWEAR,TH.Pairs,852,485,2740,27.67,30.5,27.62,Export,2021,Qtr 4,December,1
199,OTHER MANUFACTURES GROUP,,SURGICAL GOODS & MEDICAL INSTRUMENTS,,,6036,34070,,-5.13,-7.36,Export,2021,Qtr 4,December,1
200,OTHER MANUFACTURES GROUP,,CUTLERY,,,1781,10049,,-1.85,-4.14,Export,2021,Qtr 4,December,1
201,OTHER MANUFACTURES GROUP,,ONYX MANUFACTURED,M.T,280,93,526,53.85,47.84,43.72,Export,2021,Qtr 4,December,1
203,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,FERTILIZER MANUFACTURED,M.T,0,0,0,0,0,0,Export,2021,Qtr 4,December,1
204,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PLASTIC MATERIALS,M.T,19467,5677,32043,-18.84,-18.93,-20.83,Export,2021,Qtr 4,December,1
205,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,PHARMACEUTICAL PRODUCTS,M.T,3545,4355,24580,4.6,5.09,2.63,Export,2021,Qtr 4,December,1
206,OTHER MANUFACTURES GROUP,CHEMICALS AND PHARM PRODUCTS,OTHER CHEMICALS,,,9583,54088,,-23.86,-25.65,Export,2021,Qtr 4,December,1
208,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,ELECTRIC FANS,TH.NOS,135,316,1784,75.74,45,41.81,Export,2021,Qtr 4,December,1
209,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,TRANSPORT EQUIPMENT,,,120,676,,-24.14,-26.12,Export,2021,Qtr 4,December,1
210,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER ELECTRICAL MACHINERY,,,465,2626,,-21.94,-23.77,Export,2021,Qtr 4,December,1
212,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,MACHINERY SPECIALIZED FOR PARTICULAR INDUSTRIES,,,795,4485,,-25.87,-27.63,Export,2021,Qtr 4,December,1
213,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,AUTO PARTS & ACCESSORIES,,,287,1620,,-50.08,-51.22,Export,2021,Qtr 4,December,1
214,OTHER MANUFACTURES GROUP,ENGINEERING GOODS,OTHER MACHINERY,,,907,5121,,-37.34,-38.8,Export,2021,Qtr 4,December,1
215,OTHER MANUFACTURES GROUP,,GEMS,K.G,998,214,1206,22.45,27.94,24.72,Export,2021,Qtr 4,December,1
216,OTHER MANUFACTURES GROUP,,JEWELLERY,,,133,749,,-18.62,-20.4,Export,2021,Qtr 4,December,1
217,OTHER MANUFACTURES GROUP,,FURNITURE,TH.NOS,45,63,355,-59.09,-57.82,-58.72,Export,2021,Qtr 4,December,1
218,OTHER MANUFACTURES GROUP,,MOLASSES,M.T,0,0,0,0,0,0,Export,2021,Qtr 4,December,1
219,OTHER MANUFACTURES GROUP,,HANDICRAFTS,,,0,0,,0,0,Export,2021,Qtr 4,December,1
220,OTHER MANUFACTURES GROUP,,CEMENT,M.T,702306,4921,27776,-50.37,-43.73,-45.04,Export,2021,Qtr 4,December,1
221,OTHER MANUFACTURES GROUP,,GUAR AND GUAR PRODUCTS,M.T,2596,876,4943,50.04,60.7,56.97,Export,2021,Qtr 4,December,1
222,OTHER MANUFACTURES GROUP,,ALL OTHER ITEMS,,,44421,250719,,13.3,10.62,Export,2021,Qtr 4,December,1
226,FOOD GROUP,RICE,BASMATI,M.T,61298,10298,53517,-15.74,-15.24,20.92,Export,2021,Qtr 1,February,1
227,FOOD GROUP,RICE,OTHERS,M.T,254327,18391,129793,1.12,-2.99,-10.96,Export,2021,Qtr 1,February,1
